Date,Reach,Impressions,Unique link clicks,Amount Spent HYP 20,Net_Sales
2022-01-01,0,0,0.0,0.0,461545.23
2022-01-03,0,0,0.0,0.0,367270.3
2022-01-04,25719,28821,234.0,274.9375,319845.32
2022-01-05,26496,29265,219.0,274.6,307928.81
2022-01-06,25872,28685,259.0,276.5125,320746.98
2022-01-07,25866,28628,212.0,288.0125,437069.28
2022-01-08,26959,29893,267.0,283.6625,440262.79
2022-01-09,30759,33944,273.0,281.2625,385952.6
2022-01-10,29354,31696,217.0,292.6125,286363.32
2022-01-11,26766,28719,229.0,286.225,293236.79
2022-01-12,25836,27923,228.0,286.0375,298280.68
2022-01-13,25912,27906,218.0,286.125,301875.0
2022-01-14,25890,27779,197.0,274.7875,414105.06
2022-01-15,25063,27242,234.0,277.525,429857.47
2022-01-16,28932,31658,229.0,288.4125,335288.22
2022-01-17,27014,29424,214.0,284.2375,339306.63
2022-01-18,25947,28078,200.0,285.1625,258939.29
2022-01-19,25566,27469,218.0,283.725,268929.03
2022-01-20,23865,25553,182.0,283.1125,326649.62
2022-01-21,22797,24433,171.0,273.7625,435642.8
2022-01-22,24626,26663,220.0,274.8375,443419.82
2022-01-23,27964,30286,241.0,284.6875,409177.72
2022-01-24,23097,24765,201.0,277.35,285422.7
2022-01-25,21113,22681,171.0,280.575,253374.24
2022-01-26,19394,21088,159.0,277.05,273269.13
2022-01-27,17638,19095,165.0,295.1,298462.11
2022-01-28,17631,18998,161.0,261.55,395568.87
2022-01-29,18619,20096,179.0,243.9375,433041.9
2022-01-30,21113,22956,180.0,262.7625,371924.33
2022-01-31,19282,20510,152.0,231.5,292596.13
2022-02-01,0,0,0.0,0.0,271533.4
2022-02-02,0,0,0.0,0.0,272258.2
2022-02-05,0,0,0.0,0.0,436844.4
2022-02-06,810,849,9.0,9.850000000000001,404159.15
2022-02-07,15939,17708,147.0,217.2,261209.37
2022-02-08,14691,16298,133.0,236.875,242457.8
2022-02-09,14156,15525,132.0,224.85,260231.26
2022-02-10,13042,14216,138.0,225.8375,282063.69
2022-02-11,12552,13877,137.0,227.8625,367455.27
2022-02-12,12319,13475,118.0,205.0625,436961.45
2022-02-13,17792,19583,140.0,218.9,301933.68
2022-02-14,18408,20053,125.0,230.3125,375427.34
2022-02-15,16598,18001,139.0,227.225,283265.45
2022-02-16,16025,17416,152.0,225.375,290012.83
2022-02-17,15103,16385,144.0,223.75,306531.26
2022-02-18,17707,19094,132.0,265.55,422874.71
2022-02-19,17764,19333,124.0,262.0875,392863.41
2022-02-20,18264,20008,135.0,259.55,429850.68
2022-02-21,19497,21373,153.0,258.4875,376204.12
2022-02-22,20971,22352,157.0,270.5375,278008.4
2022-02-23,19515,21221,156.0,264.275,335065.28
2022-02-24,17647,19249,134.0,252.9375,329530.04
2022-02-25,17590,18802,143.0,254.6125,447419.02
2022-02-26,21320,23307,140.0,268.7125,469632.82
2022-02-27,23672,25765,163.0,273.4125,453031.7
2022-02-28,20438,22000,133.0,237.9875,270381.68
2022-03-01,4891,5374,25.0,66.65,245405.67
2022-03-02,4598,4981,27.0,63.9625,256510.4
2022-03-03,5341,5751,43.0,79.96249999999999,285613.51
2022-03-04,27701,29247,147.0,474.7875,396483.56
2022-03-05,27736,31204,209.0,428.8125,442762.1
2022-03-06,30558,33823,182.0,404.2375,397697.18
